scenario,layer,approx_ratio
Real Hardware,0,0.3107084116541356
Real Hardware,1,0.6295328164160405
Real Hardware,2,0.6163284187030078
Fake Backend,0,0.221518150845865
Fake Backend,1,0.47852786262531344
Fake Backend,2,0.6178409891917294
Aer Noise Model,0,0.4562443199262187
Aer Noise Model,1,0.726963822440435
Aer Noise Model,2,0.6672440006800799
