scenario,final_energy,approx_ratio,gap_vs_optimum,loss_floor,loss_roughness
Real Hardware,-0.2788152370323131,0.6163284187030078,0.17356571534863935,-0.2847886550453517,0.025090214286686438
Fake Backend,-0.2794994951105443,0.6178409891917294,0.17288145727040816,-0.2794994951105443,0.02831835008578538
Aer Noise Model,-0.30184847649813146,0.6672440006800799,0.15053247588282098,-0.3288645863421016,0.027403375924502246
