scenario,layer,iter_in_layer,global_iter,energy
Real Hardware,2,53,121,-0.21217315051020413
Real Hardware,2,54,122,-0.2637360933956917
Real Hardware,2,55,123,-0.23616093572845814
Real Hardware,2,56,124,-0.20053190547052166
Real Hardware,2,57,125,-0.23953240150226768
Real Hardware,2,58,126,-0.23903636975623596
Real Hardware,2,59,127,-0.2399498210742631
Real Hardware,2,60,128,-0.22137188208616793
Real Hardware,2,61,129,-0.24685772746598653
Real Hardware,2,62,130,-0.25441778273809534
Real Hardware,2,63,131,-0.24092970521541957
Real Hardware,2,64,132,-0.2708366549744899
Real Hardware,2,65,133,-0.22310910041099782
Real Hardware,2,66,134,-0.19529810622165542
Real Hardware,2,67,135,-0.22766417765022687
Real Hardware,2,68,136,-0.246780222505669
Real Hardware,2,69,137,-0.2228511196145126
Real Hardware,2,70,138,-0.2304277830924037
Real Hardware,2,71,139,-0.23842186614229027
Real Hardware,2,72,140,-0.23481013499149672
Real Hardware,2,73,141,-0.24111239547902502
Real Hardware,2,74,142,-0.23076326884920645
Real Hardware,2,75,143,-0.23928106398809534
Real Hardware,2,76,144,-0.2410359977324264
Real Hardware,2,77,145,-0.2136568168934242
Real Hardware,2,78,146,-0.25893632192460325
Real Hardware,2,79,147,-0.2489271099064627
Real Hardware,2,80,148,-0.24234029549319738
Real Hardware,2,81,149,-0.2521103493480727
Real Hardware,2,82,150,-0.2331670298327666
Real Hardware,2,83,151,-0.19424403876133797
Real Hardware,2,84,152,-0.2256180466978459
Real Hardware,2,85,153,-0.26346371882086184
Real Hardware,2,86,154,-0.26809519380668945
Real Hardware,2,87,155,-0.2585255456349207
Real Hardware,2,88,156,-0.25849897250566906
Real Hardware,2,89,157,-0.2558748759920636
Real Hardware,2,90,158,-0.26076654620181416
Real Hardware,2,91,159,-0.2715984180130387
Real Hardware,2,92,160,-0.261126390660431
Real Hardware,2,93,161,-0.2594024589002269
Real Hardware,2,94,162,-0.26528176374716567
Real Hardware,2,95,163,-0.2663823341836736
Real Hardware,2,96,164,-0.260650288761338
Real Hardware,2,97,165,-0.25560360863095255
Real Hardware,2,98,166,-0.2682236305980727
Real Hardware,2,99,167,-0.25965268920068046
Fake Backend,0,0,0,0.06542636585884339
Fake Backend,0,1,1,0.07098347151360535
Fake Backend,0,2,2,0.056740274234693716
Fake Backend,0,3,3,0.06863728564342386
Fake Backend,0,4,4,0.06067863343253954
Fake Backend,0,5,5,0.06365260948129238
Fake Backend,0,6,6,0.06133188952664383
Fake Backend,0,7,7,0.05226491638321983
Fake Backend,0,8,8,0.06881776147959169
Fake Backend,0,9,9,0.0646513162556688
Fake Backend,0,10,10,0.07653393388605428
Fake Backend,0,11,11,-0.006468342545351601
Fake Backend,0,12,12,-0.08995447137188221
Fake Backend,0,13,13,0.03540980194160985
Fake Backend,0,14,14,-0.05556109162414979
Fake Backend,0,15,15,-0.06831397923752848
Fake Backend,0,16,16,-0.10021059204931988
Fake Backend,0,17,17,-0.04007006448412711
Fake Backend,0,18,18,-0.10017073235544231
Fake Backend,0,19,19,-0.056721451601474036
Fake Backend,1,0,20,-0.07808846194727903
Fake Backend,1,1,21,-0.055419368268140715
Fake Backend,1,2,22,-0.1397813031462586
Fake Backend,1,3,23,-0.10237408765589583
Fake Backend,1,4,24,-0.11334103954081645
Fake Backend,1,5,25,-0.12390828727324275
Fake Backend,1,6,26,-0.1359946322278913
Fake Backend,1,7,27,-0.07410692141439922
Fake Backend,1,8,28,-0.07113515979308405
Fake Backend,1,9,29,-0.10884575184240375
Fake Backend,1,10,30,-0.14403743268140598
Fake Backend,1,11,31,-0.11347279797335612
Fake Backend,1,12,32,-0.1764223267431974
Fake Backend,1,13,33,-0.15041941255668947
Fake Backend,1,14,34,-0.14029505031179154
Fake Backend,1,15,35,-0.12597102643140604
Fake Backend,1,16,36,-0.1628035980017008
Fake Backend,1,17,37,-0.1451280381944446
Fake Backend,1,18,38,-0.17414810976473932
Fake Backend,1,19,39,-0.12288854343820875
Fake Backend,1,20,40,-0.1597432592828799
Fake Backend,1,21,41,-0.11676897321428584
Fake Backend,1,22,42,-0.12582265979308405
Fake Backend,1,23,43,-0.12324174461451261
Fake Backend,1,24,44,-0.13401714852607724
Fake Backend,1,25,45,-0.15164399092970537
Fake Backend,1,26,46,-0.15961039363662144
Fake Backend,1,27,47,-0.10038885345805
Fake Backend,1,28,48,-0.10396183212868493
Fake Backend,1,29,49,-0.13452646683673483
Fake Backend,1,30,50,-0.11693394805839014
Fake Backend,1,31,51,-0.11453350871598655
Fake Backend,1,32,52,-0.12963147498582778
Fake Backend,1,33,53,-0.1688899518140591
Fake Backend,1,34,54,-0.12362594777494341
Fake Backend,1,35,55,-0.1071771807681407
Fake Backend,1,36,56,-0.16594365610827677
Fake Backend,1,37,57,-0.13705977182539694
Fake Backend,1,38,58,-0.1456761089852609
Fake Backend,1,39,59,-0.12506311118197289
Fake Backend,1,40,60,-0.12363923433956928
Fake Backend,1,41,61,-0.13790346867913847
Fake Backend,1,42,62,-0.1344544979450114
Fake Backend,1,43,63,-0.16645408163265318
Fake Backend,1,44,64,-0.10284686791383232
Fake Backend,1,45,65,-0.09831836380385499
Fake Backend,1,46,66,-0.12855969210600918
Fake Backend,1,47,67,-0.21647689023526087
Fake Backend,2,0,68,-0.18314975729875296
Fake Backend,2,1,69,-0.1428427490787983
Fake Backend,2,2,70,-0.14965986394557831
Fake Backend,2,3,71,-0.17910510558390036
Fake Backend,2,4,72,-0.14096270018424048
Fake Backend,2,5,73,-0.19280908978174618
Fake Backend,2,6,74,-0.1865024004393425
Fake Backend,2,7,75,-0.17116306157879835
Fake Backend,2,8,76,-0.16734981753117928
Fake Backend,2,9,77,-0.16950999149659876
Fake Backend,2,10,78,-0.14532622945011348
Fake Backend,2,11,79,-0.17230349170918377
Fake Backend,2,12,80,-0.16369269061791394
Fake Backend,2,13,81,-0.1951807415674604
Fake Backend,2,14,82,-0.14524429563492075
Fake Backend,2,15,83,-0.15764841092687085
Fake Backend,2,16,84,-0.2000834839143992
Fake Backend,2,17,85,-0.16264083758503414
Fake Backend,2,18,86,-0.1741458953373017
Fake Backend,2,19,87,-0.16840167056405903
Fake Backend,2,20,88,-0.1796996793509072
Fake Backend,2,21,89,-0.18863157242063502
Fake Backend,2,22,90,-0.16852014243197294
Fake Backend,2,23,91,-0.16024814873866225
Fake Backend,2,24,92,-0.14448917587868496
Fake Backend,2,25,93,-0.16176946038832207
Fake Backend,2,26,94,-0.15734171272675745
Fake Backend,2,27,95,-0.16668548929988677
Fake Backend,2,28,96,-0.1721794837726758
Fake Backend,2,29,97,-0.18425032773526093
Fake Backend,2,30,98,-0.15813447774943323
Fake Backend,2,31,99,-0.16384770053854886
Fake Backend,2,32,100,-0.14485012755102056
Fake Backend,2,33,101,-0.1564005810657598
Fake Backend,2,34,102,-0.179354228670635
Fake Backend,2,35,103,-0.1790597098214287
Fake Backend,2,36,104,-0.16552291489512488
Fake Backend,2,37,105,-0.16688921662414977
Fake Backend,2,38,106,-0.17245517998866228
Fake Backend,2,39,107,-0.17520107001133806
Fake Backend,2,40,108,-0.16163548752834478
Fake Backend,2,41,109,-0.14572814803004552
Fake Backend,2,42,110,-0.16999716553287994
Fake Backend,2,43,111,-0.15377648455215429
Fake Backend,2,44,112,-0.17290470875850356
Fake Backend,2,45,113,-0.16950556264172348
Fake Backend,2,46,114,-0.17364875637755117
Fake Backend,2,47,115,-0.15433673469387768
Fake Backend,2,48,116,-0.17623963647959193
Fake Backend,2,49,117,-0.18490911989795927
Fake Backend,2,50,118,-0.15366133432539697
Fake Backend,2,51,119,-0.12649584573412712
Fake Backend,2,52,120,-0.16364840206916112
Fake Backend,2,53,121,-0.16366943912981868
Fake Backend,2,54,122,-0.18518592332766448
Fake Backend,2,55,123,-0.16153473107993208
Fake Backend,2,56,124,-0.1875077504960319
