scenario,final_energy,final_approx_ratio,noiseless_optimum,energy_gap_vs_optimum,fallback_eval,total_evals
Real Hardware,-0.2788152370323131,0.6163284187030078,-0.45238095238095244,0.17356571534863935,18,168
Fake Backend,-0.2794994951105443,0.6178409891917294,-0.45238095238095244,0.17288145727040816,,168
Aer Noise Model,-0.30184847649813146,0.6672440006800799,-0.45238095238095244,0.15053247588282098,,
